IMPORT_OK
import time: self [us] | cumulative | imported package
import time:       597 |      58450 |             numpy.__config__
import time:       395 |        395 |                               numpy._typing._nbit_base
import time:       496 |        496 |                               numpy._typing._nested_sequence
import time:       135 |        135 |                               numpy._typing._shape
import time:       701 |       1725 |                             numpy._typing._array_like
import time:       710 |        710 |                             numpy._typing._char_codes
import time:       453 |        453 |                             numpy._typing._dtype_like
import time:       154 |        154 |                             numpy._typing._nbit
import time:       154 |        154 |                             numpy._typing._scalars
import time:        93 |         93 |                             numpy._typing._ufunc
import time:       597 |       3884 |                           numpy._typing
import time:       410 |        410 |                               numpy.lib._array_utils_impl
import time:      1047 |       1456 |                             numpy.lib._stride_tricks_impl
import time:      1390 |       2845 |                           numpy.lib._twodim_base_impl
import time:       290 |        290 |                           numpy.lib.array_utils
import time:      1798 |       1798 |                           numpy.linalg._umath_linalg
import time:      4645 |      13461 |                         numpy.linalg._linalg
import time:       282 |      13742 |                       numpy.linalg
import time:      1531 |      15273 |                     numpy.matrixlib.defmatrix
import time:       358 |      15630 |                   numpy.matrixlib
import time:      2087 |       2087 |                     numpy.lib._histograms_impl
import time:      9022 |      11109 |                   numpy.lib._function_base_impl
import time:      1759 |      28497 |                 numpy.lib._index_tricks_impl
import time:      2075 |      30572 |               numpy.lib._arraypad_impl
import time:      2105 |       2105 |               numpy.lib._arraysetops_impl
import time:       878 |        878 |               numpy.lib._arrayterator_impl
import time:      2564 |       2564 |               numpy.lib._nanfunctions_impl
import time:      1392 |       1392 |                     numpy.lib._utils_impl
import time:      1769 |       3161 |                   numpy.lib._format_impl
import time:       314 |       3474 |                 numpy.lib.format
import time:      1131 |       1131 |                 numpy.lib._datasource
import time:      2050 |       2050 |                 numpy.lib._iotools
import time:      4786 |      11441 |               numpy.lib._npyio_impl
import time:       422 |        422 |                   numpy.lib._ufunclike_impl
import time:       968 |       1389 |                 numpy.lib._type_check_impl
import time:      2490 |       3879 |               numpy.lib._polynomial_impl
import time:      1819 |       1819 |               numpy.lib._shape_base_impl
import time:       592 |        592 |               numpy.lib._version
import time:       302 |        302 |               numpy.lib.introspect
import time:       506 |        506 |               numpy.lib.mixins
import time:       191 |        191 |               numpy.lib.npyio
import time:       898 |        898 |                 numpy.lib._scimath_impl
import time:       174 |       1071 |               numpy.lib.scimath
import time:       114 |        114 |               numpy.lib.stride_tricks
import time:       553 |      56579 |             numpy.lib
import time:       719 |        719 |             numpy._array_api_info
import time:      3106 |     121449 |           numpy
import time:       470 |        470 |             numpy._typing._add_docstring
import time:       523 |        992 |           numpy.typing
import time:       530 |        530 |               onnxruntime.capi
import time:       203 |        203 |               onnxruntime.capi._ld_preload
import time:     35776 |      35776 |               onnxruntime.capi.onnxruntime_pybind11_state
import time:       515 |      37022 |             onnxruntime.capi._pybind_state
import time:       704 |        704 |             onnxruntime.capi.onnxruntime_validation
import time:      3915 |       3915 |             onnxruntime.capi.onnxruntime_inference_collection
import time:        31 |         31 |             onnxruntime.experimental
import time:       288 |        288 |             onnxruntime.capi.build_and_package_info
import time:      1698 |      43655 |           onnxruntime
import time:       299 |        299 |             magika.colors
import time:       572 |        871 |           magika.logger
import time:       278 |        278 |                 magika.types.strenum
import time:      1914 |       2191 |               magika.types.content_type_label
import time:       758 |       2949 |             magika.types.content_type_info
import time:       130 |        130 |             magika.types.magika_error
import time:       218 |        218 |               magika.types.overwrite_reason
import time:       477 |        695 |             magika.types.magika_prediction
import time:       170 |        170 |               magika.types.status
import time:       490 |        659 |             magika.types.magika_result
import time:      1189 |       1189 |             magika.types.model
import time:       206 |        206 |             magika.types.prediction_mode
import time:       167 |        167 |             magika.types.seekable
import time:       379 |       6371 |           magika.types
import time:      2340 |     175677 |         magika.magika
import time:       787 |     176463 |       magika
import time:       611 |        611 |       markitdown._stream_info
import time:       497 |        497 |       markitdown._uri_utils
import time:       326 |        326 |           markitdown._base_converter
import time:       408 |        408 |                 cobble.inflection
import time:       978 |       1386 |               cobble
import time:       422 |        422 |                 mammoth.lists
import time:       508 |        929 |               mammoth.results
import time:       508 |        508 |               mammoth.zips
import time:      2663 |       2663 |                 mammoth.documents
import time:       434 |       3097 |               mammoth.docx.document_xml
import time:       359 |        359 |               mammoth.docx.content_types_xml
import time:       341 |        341 |               mammoth.docx.relationships_xml
import time:       650 |        650 |                 mammoth.docx.styles_xml
import time:       859 |       1508 |               mammoth.docx.numbering_xml
import time:       403 |        403 |               mammoth.docx.notes_xml
import time:       250 |        250 |               mammoth.docx.comments_xml
import time:        61 |         61 |                 urllib2
import time:       267 |        328 |               mammoth.docx.files
import time:       326 |        326 |                 mammoth.transforms
import time:       264 |        264 |                 mammoth.docx.complex_fields
import time:      3562 |       3562 |                 mammoth.docx.dingbats
import time:       347 |        347 |                       xml
import time:       208 |        208 |                       xml.dom.domreg
import time:       626 |       1180 |                     xml.dom
import time:       276 |        276 |                     xml.dom.minicompat
import time:       156 |        156 |                       xml.dom.NodeFilter
import time:       321 |        477 |                     xml.dom.xmlbuilder
import time:      1193 |       3125 |                   xml.dom.minidom
import time:       696 |       3821 |                 mammoth.docx.xmlparser
import time:       143 |        143 |                 mammoth.docx.uris
import time:      2436 |      10548 |               mammoth.docx.body_xml
import time:       187 |        187 |               mammoth.docx.office_xml
import time:      1435 |      21274 |             mammoth.docx
import time:       961 |        961 |                   mammoth.html.nodes
import time:       681 |       1642 |                 mammoth.html
import time:       516 |       2157 |               mammoth.html_paths
import time:       320 |        320 |               mammoth.images
import time:       237 |        237 |                         xml.sax.handler
import time:       208 |        208 |                         xml.sax._exceptions
import time:       439 |        883 |                       xml.sax.xmlreader
import time:       334 |       1216 |                     xml.sax
import time:       269 |       1485 |                   xml.sax.saxutils
import time:       141 |        141 |                   mammoth.writers.abc
import time:       367 |       1992 |                 mammoth.writers.html
import time:       804 |        804 |                 mammoth.writers.markdown
import time:       150 |       2945 |               mammoth.writers
import time:      2153 |       7573 |             mammoth.conversion
import time:       194 |        194 |                 mammoth.styles
import time:       197 |        197 |                 mammoth.styles.parser.errors
import time:       524 |        524 |                   mammoth.styles.parser.tokeniser
import time:       692 |        692 |                     mammoth.document_matchers
import time:       190 |        190 |                     mammoth.styles.parser.token_parser
import time:       609 |       1489 |                   mammoth.styles.parser.document_matcher_parser
import time:       572 |        572 |                   mammoth.styles.parser.html_path_parser
import time:       145 |       2729 |                 mammoth.styles.parser.style_mapping_parser
import time:       289 |        289 |                 mammoth.styles.parser.token_iterator
import time:       273 |       3680 |               mammoth.styles.parser
import time:      1014 |       4694 |             mammoth.options
import time:       269 |        269 |             mammoth.underline
import time:       199 |        199 |             mammoth.raw_text
import time:       471 |        471 |               xml.etree
import time:       483 |        483 |                 xml.etree.ElementPath
import time:        78 |         78 |                   pyexpat
import time:        53 |        131 |                 _elementtree
import time:       945 |       1558 |               xml.etree.ElementTree
import time:       434 |       2461 |             mammoth.docx.style_map
import time:       558 |      37025 |           mammoth
import time:       507 |      37858 |         markitdown.converters._plain_text_converter
import time:       855 |        855 |                   bs4._typing
import time:       970 |        970 |                     soupsieve.__meta__
import time:       741 |        741 |                       soupsieve.util
import time:      1168 |       1168 |                           soupsieve.pretty
import time:      1678 |       2845 |                         soupsieve.css_types
import time:      5689 |       8534 |                       soupsieve.css_match
import time:      5790 |      15063 |                     soupsieve.css_parser
import time:       885 |      16916 |                   soupsieve
import time:       923 |      18693 |                 bs4.css
import time:       404 |        404 |                 bs4._deprecation
import time:       124 |        124 |                     cchardet
import time:        46 |         46 |                     chardet
import time:      3542 |       3710 |                   bs4.dammit
import time:       871 |       4580 |                 bs4.formatter
import time:       643 |        643 |                 bs4._warnings
import time:      1813 |       1813 |                 bs4.filter
import time:      7246 |      33378 |               bs4.element
import time:       330 |        330 |               bs4.exceptions
import time:       387 |        387 |                   _markupbase
import time:       736 |       1123 |                 html.parser
import time:      1303 |       2425 |               bs4.builder._htmlparser
import time:        63 |         63 |                 html5lib
import time:      1706 |       1768 |               bs4.builder._html5lib
import time:       492 |        492 |                 lxml
import time:      1638 |       1638 |                   lxml._elementpath
import time:       480 |        480 |                   gzip
import time:        57 |         57 |                   rnc2rng
import time:      8593 |      10766 |                 lxml.etree
import time:      1542 |      12800 |               bs4.builder._lxml
import time:      2084 |      52781 |             bs4.builder
import time:      2863 |      55644 |           bs4
import time:      3236 |       3236 |               six
import time:      2971 |       6206 |             markdownify
import time:       780 |       6986 |           markitdown.converters._markdownify
import time:       381 |      63009 |         markitdown.converters._html_converter
import time:       201 |        201 |                 xml.parsers
import time:       208 |        409 |               xml.parsers.expat
import time:       679 |       1088 |             defusedxml.common
import time:       473 |       1560 |           defusedxml
import time:       572 |        572 |               xml.dom.expatbuilder
import time:       544 |       1115 |             defusedxml.expatbuilder
import time:       295 |        295 |               xml.dom.pulldom
import time:       237 |        237 |                   xml.sax.expatreader
import time:       241 |        478 |                 defusedxml.expatreader
import time:       190 |        667 |               defusedxml.sax
import time:       331 |       1292 |             defusedxml.pulldom
import time:       311 |       2717 |           defusedxml.minidom
import time:       876 |       5152 |         markitdown.converters._rss_converter
import time:       405 |        405 |         markitdown.converters._wikipedia_converter
import time:       608 |        608 |               youtube_transcript_api.proxies
import time:         2 |          2 |                   _elementtree
import time:       913 |        914 |                 defusedxml.ElementTree
import time:        93 |         93 |                   youtube_transcript_api._settings
import time:       786 |        878 |                 youtube_transcript_api._errors
import time:      2186 |       3978 |               youtube_transcript_api._transcripts
import time:       850 |       5434 |             youtube_transcript_api._api
import time:       296 |       5730 |           youtube_transcript_api
import time:       943 |       6672 |         markitdown.converters._youtube_converter
import time:       448 |        448 |           markitdown._exceptions
import time:       545 |        992 |         markitdown.converters._ipynb_converter
import time:       559 |        559 |         markitdown.converters._bing_serp_converter
import time:       853 |        853 |           pdfminer
import time:       412 |        412 |                   pdfminer.psexceptions
import time:       517 |        928 |                 pdfminer.pdfexceptions
import time:      2642 |       3569 |               pdfminer.utils
import time:      1487 |       1487 |                 pdfminer.jbig2
import time:       218 |        218 |                       pdfminer.settings
import time:      2381 |       2599 |                     pdfminer.psparser
import time:       343 |       2942 |                   pdfminer.pdfcolor
import time:       556 |        556 |                     pdfminer.casting
import time:      8974 |       8974 |                         pdfminer.glyphlist
import time:      1474 |       1474 |                         pdfminer.latin_enc
import time:       773 |      11220 |                       pdfminer.encodingdb
import time:      2119 |      13338 |                     pdfminer.cmapdb
import time:      7328 |       7328 |                     pdfminer.fontmetrics
import time:       398 |        398 |                       pdfminer.ascii85
import time:      2847 |       2847 |                       pdfminer.ccitt
import time:       666 |        666 |                       pdfminer.lzw
import time:       306 |        306 |                       pdfminer.runlength
import time:      1887 |       6103 |                     pdfminer.pdftypes
import time:      3976 |      31300 |                   pdfminer.pdffont
import time:       456 |        456 |                                 cryptography.__about__
import time:       409 |        864 |                               cryptography
import time:       206 |       1070 |                             cryptography.hazmat
import time:       308 |       1377 |                           cryptography.hazmat.backends
import time:       398 |        398 |                             cryptography.hazmat.primitives
import time:       777 |        777 |                               cryptography.utils
import time:       385 |       1162 |                             cryptography.hazmat.primitives._cipheralgorithm
import time:        95 |         95 |                                 cryptography.hazmat.bindings
import time:      1868 |       1868 |                                 _cffi_backend
import time:     12606 |      14568 |                               cryptography.hazmat.bindings._rust
import time:       365 |        365 |                                 cryptography.exceptions
import time:       363 |        363 |                                     cryptography.hazmat.decrepit
import time:       329 |        692 |                                   cryptography.hazmat.decrepit.ciphers
import time:       527 |        527 |                                   cryptography.hazmat.primitives._modes
import time:       465 |       1684 |                                 cryptography.hazmat.decrepit.ciphers.modes
import time:      1223 |       1223 |                                   cryptography.hazmat.decrepit.ciphers.algorithms
import time:       484 |       1706 |                                 cryptography.hazmat.primitives.ciphers.algorithms
import time:       700 |       4453 |                               cryptography.hazmat.primitives.ciphers.modes
import time:       721 |      19741 |                             cryptography.hazmat.primitives.ciphers.base
import time:       948 |      22248 |                           cryptography.hazmat.primitives.ciphers
import time:       419 |        419 |                           pdfminer.arcfour
import time:       770 |        770 |                             pdfminer.pdfparser
import time:       429 |       1198 |                           pdfminer.data_structures
import time:      3949 |      29189 |                         pdfminer.pdfdocument
import time:       860 |      30048 |                       pdfminer.pdfpage
import time:      1112 |      31160 |                     pdfminer.pdfdevice
import time:      4265 |      35424 |                   pdfminer.pdfinterp
import time:      3491 |      73155 |                 pdfminer.layout
import time:      1126 |      75766 |               pdfminer.image
import time:      3435 |      82769 |             pdfminer.converter
import time:       912 |      83680 |           pdfminer.high_level
import time:       317 |        317 |                 pdfplumber._typing
import time:       552 |        869 |               pdfplumber.utils.clustering
import time:       258 |        258 |               pdfplumber.utils.generic
import time:      1317 |       1317 |               pdfplumber.utils.geometry
import time:       131 |        131 |                 pdfplumber.utils.exceptions
import time:       587 |        717 |               pdfplumber.utils.pdfinternals
import time:      2762 |       2762 |               pdfplumber.utils.text
import time:       534 |       6454 |             pdfplumber.utils
import time:       254 |        254 |             pdfplumber._version
import time:       651 |        651 |                 pdfplumber.convert
import time:       861 |       1512 |               pdfplumber.container
import time:      2147 |       2147 |                 pdfplumber.structure
import time:      2915 |       2915 |                 pdfplumber.table
import time:      2736 |       7798 |               pdfplumber.page
import time:       372 |        372 |               pdfplumber.repair
import time:       977 |      10656 |             pdfplumber.pdf
import time:       403 |      17767 |           pdfplumber
import time:      1806 |     104105 |         markitdown.converters._pdf_converter
import time:        71 |         71 |               markitdown.converter_utils
import time:       284 |        355 |             markitdown.converter_utils.docx
import time:        61 |         61 |               markitdown.converter_utils.docx.math
import time:       594 |        594 |               markitdown.converter_utils.docx.math.latex_dict
import time:      1369 |       2023 |             markitdown.converter_utils.docx.math.omml
import time:       669 |       3046 |           markitdown.converter_utils.docx.pre_process
import time:       432 |       3478 |         markitdown.converters._docx_converter
import time:       332 |        332 |               dateutil._version
import time:       286 |        617 |             dateutil
import time:       563 |        563 |               pandas.compat._constants
import time:       324 |        324 |                   pandas.util
import time:      2018 |       2342 |                 pandas.util.version
import time:       384 |       2725 |               pandas.compat.numpy
import time:        56 |         56 |                 pyarrow
import time:       370 |        425 |               pandas.compat.pyarrow
import time:       684 |       4396 |             pandas.compat
import time:      1538 |       1538 |                         numpy.random._common
import time:      1561 |       3098 |                       numpy.random.bit_generator
import time:      1559 |       4656 |                     numpy.random._bounded_integers
import time:      1290 |       1290 |                         numpy.random._pcg64
import time:      2525 |       3815 |                       numpy.random._generator
import time:      1293 |       1293 |                       numpy.random._mt19937
import time:      1938 |       1938 |                       numpy.random._philox
import time:      1835 |       1835 |                       numpy.random._sfc64
import time:      2527 |       2527 |                       numpy.random.mtrand
import time:       574 |      11979 |                     numpy.random._pickle
import time:       402 |      17036 |                   numpy.random
import time:      2473 |      19508 |                 pandas._typing
import time:       549 |        549 |                 pandas.util._exceptions
import time:      2226 |      22283 |               pandas._config.config
import time:       337 |        337 |               pandas._config.dates
import time:       331 |        331 |               pandas._config.display
import time:       418 |      23368 |             pandas._config
import time:        77 |         77 |               pandas.core
import time:      1484 |       1484 |                     pandas._libs.pandas_parser
import time:      1096 |       1096 |                     pandas._libs.pandas_datetime
import time:      1573 |       1573 |                                   pandas._libs._cyutility
import time:      1421 |       2993 |                                 pandas._libs.tslibs.ccalendar
import time:      1841 |       1841 |                                 pandas._libs.tslibs.np_datetime
import time:      1908 |       6742 |                               pandas._libs.tslibs.dtypes
import time:      1535 |       1535 |                                 pandas._libs.tslibs.base
import time:      1843 |       1843 |                                     pandas._libs.tslibs.nattype
import time:      1181 |       1181 |                                         zoneinfo._zoneinfo
import time:       663 |        663 |                                         pandas.compat._optional
import time:        24 |         24 |                                             six.moves
import time:       930 |        930 |                                             dateutil.tz._common
import time:       432 |        432 |                                             dateutil.tz._factories
import time:        11 |         11 |                                               six.moves.winreg
import time:      1062 |       1072 |                                             dateutil.tz.win
import time:      4049 |       6505 |                                           dateutil.tz.tz
import time:       317 |       6821 |                                         dateutil.tz
import time:      2134 |      10799 |                                       pandas._libs.tslibs.timezones
import time:      2118 |       2118 |                                         pandas._libs.properties
import time:      1279 |       3397 |                                       pandas.util._decorators
import time:       888 |        888 |                                         _strptime
import time:       601 |        601 |                                         pandas._config.localization
import time:      1726 |       3213 |                                       pandas._libs.tslibs.fields
import time:      2115 |      19522 |                                     pandas._libs.tslibs.timedeltas
import time:      1859 |       1859 |                                     pandas._libs.tslibs.tzconversion
import time:      2287 |      25509 |                                   pandas._libs.tslibs.timestamps
import time:       422 |        422 |                                   dateutil.easter
import time:      3126 |      29057 |                                 pandas._libs.tslibs.offsets
import time:       367 |        367 |                                       dateutil._common
import time:      6312 |       6679 |                                     dateutil.parser._parser
import time:      1111 |       1111 |                                     dateutil.parser.isoparser
import time:       417 |       8207 |                                   dateutil.parser
import time:      2161 |       2161 |                                   pandas._libs.tslibs.strptime
import time:      2222 |      12589 |                                 pandas._libs.tslibs.parsing
import time:      1670 |      44849 |                               pandas._libs.tslibs.conversion
import time:      1604 |       1604 |                               pandas._libs.tslibs.period
import time:      1246 |       1246 |                               pandas._libs.tslibs.vectorized
import time:       400 |      54839 |                             pandas._libs.tslibs
import time:        11 |      54850 |                           pandas._libs.tslibs.nattype
import time:      1361 |       1361 |                           pandas._libs.ops_dispatch
import time:      1550 |      57760 |                         pandas._libs.missing
import time:      3000 |      60760 |                       pandas._libs.hashtable
import time:      2461 |       2461 |                       pandas._libs.algos
import time:      2599 |      65820 |                     pandas._libs.interval
import time:       423 |      68821 |                   pandas._libs
import time:        11 |      68831 |                 pandas._libs.tslibs
import time:      1085 |      69915 |               pandas.errors
import time:      1892 |      71883 |             pandas.core.config_init
import time:        74 |         74 |                 pandas.core.dtypes
import time:      2550 |       2550 |                 pandas._libs.lib
import time:       624 |        624 |                   pandas.core.dtypes.generic
import time:      1191 |       1814 |                 pandas.core.dtypes.base
import time:       713 |        713 |                 pandas.core.dtypes.inference
import time:      5950 |      11100 |               pandas.core.dtypes.dtypes
import time:      2187 |       2187 |                 pandas.core.dtypes.common
import time:      1795 |       3982 |               pandas.core.dtypes.missing
import time:       458 |        458 |                     pandas.io
import time:      1359 |       1817 |                   pandas.io._util
import time:      4287 |       6104 |                 pandas.core.dtypes.cast
import time:       936 |        936 |                   pandas.core.dtypes.astype
import time:       909 |       1845 |                 pandas.core.dtypes.concat
import time:       402 |        402 |                   pandas.core.array_algos
import time:     17043 |      17043 |                       numpy.ma.core
import time:      3890 |       3890 |                       numpy.ma.extras
import time:       436 |      21368 |                     numpy.ma
import time:      2736 |       2736 |                       pandas.core.col
import time:      1581 |       4316 |                     pandas.core.common
import time:      1733 |      27416 |                   pandas.core.construction
import time:      1817 |      29634 |                 pandas.core.array_algos.take
import time:      1277 |       1277 |                   pandas.core.indexers.utils
import time:       448 |       1724 |                 pandas.core.indexers
import time:      3119 |      42425 |               pandas.core.algorithms
import time:      1177 |       1177 |                   pandas.core.arrays.arrow.accessors
import time:      2917 |       2917 |                     pandas.core.missing
import time:      2137 |       2137 |                         pandas._libs.ops
import time:       444 |        444 |                         pandas.core.roperator
import time:        79 |         79 |                         pandas.core.computation
import time:       382 |        382 |                           pandas.core.computation.check
import time:      1091 |       1472 |                         pandas.core.computation.expressions
import time:       580 |        580 |                         pandas.core.ops.missing
import time:       255 |        255 |                         pandas.core.ops.dispatch
import time:       381 |        381 |                         pandas.core.ops.invalid
import time:      1895 |       7240 |                       pandas.core.ops.array_ops
import time:       577 |        577 |                       pandas.core.ops.common
import time:       869 |        869 |                       pandas.core.ops.docstrings
import time:       520 |        520 |                       pandas.core.ops.mask_ops
import time:       540 |       9746 |                     pandas.core.ops
import time:      1573 |       1573 |                     pandas.core.arraylike
import time:      1876 |       1876 |                     pandas.core.arrays._arrow_string_mixins
import time:       465 |        465 |                     pandas.core.arrays._utils
import time:      1111 |       1111 |                         pandas.util._validators
import time:      1165 |       2275 |                       pandas.compat.numpy.function
import time:       521 |        521 |                       pandas.core.array_algos.quantile
import time:      1829 |       1829 |                       pandas.core.sorting
import time:      4090 |       8715 |                     pandas.core.arrays.base
import time:      4333 |       4333 |                       pandas.core.nanops
import time:       495 |        495 |                       pandas.core.array_algos.masked_accumulations
import time:       574 |        574 |                       pandas.core.array_algos.masked_reductions
import time:       279 |        279 |                       pandas.core.array_algos.transforms
import time:        79 |         79 |                         pandas.core.util
import time:      2039 |       2039 |                         pandas._libs.hashing
import time:      1320 |       3438 |                       pandas.core.util.hashing
import time:      5271 |      14387 |                     pandas.core.arrays.masked
import time:      2124 |       2124 |                       pandas._libs.arrays
import time:      1361 |       1361 |                         pandas.core.arrays.numeric
import time:       716 |       2076 |                       pandas.core.arrays.floating
import time:       813 |        813 |                       pandas.core.arrays.integer
import time:      1982 |       1982 |                         pandas.core.arrays._mixins
import time:       368 |        368 |                           pandas.core.strings
import time:      2716 |       3083 |                         pandas.core.strings.object_array
import time:      1869 |       6933 |                       pandas.core.arrays.numpy_
import time:       428 |        428 |                       pandas.io.formats
import time:       687 |        687 |                         pandas.io.formats.console
import time:      2777 |       3464 |                       pandas.io.formats.printing
import time:      3815 |      19651 |                     pandas.core.arrays.string_
import time:       360 |        360 |                       pandas.tseries
import time:      2103 |       2463 |                     pandas.tseries.frequencies
import time:     10667 |      72457 |                   pandas.core.arrays.arrow.array
import time:       766 |      74399 |                 pandas.core.arrays.arrow
import time:      1750 |       1750 |                 pandas.core.arrays.boolean
import time:       926 |        926 |                   pandas.core.accessor
import time:      2316 |       2316 |                   pandas.core.base
import time:      5871 |       9113 |                 pandas.core.arrays.categorical
import time:      2432 |       2432 |                   pandas._libs.tslib
import time:       651 |        651 |                     pandas.core.array_algos.datetimelike_accumulations
import time:      7048 |       7698 |                   pandas.core.arrays.datetimelike
import time:       738 |        738 |                   pandas.core.arrays._ranges
import time:       322 |        322 |                   pandas.tseries.offsets
import time:      4750 |      15938 |                 pandas.core.arrays.datetimes
import time:      3296 |       3296 |                   pandas.core.arrays.timedeltas
import time:      4554 |       7850 |                 pandas.core.arrays.interval
import time:      3360 |       3360 |                 pandas.core.arrays.period
import time:      2721 |       2721 |                       pandas._libs.sparse
import time:      5235 |       7955 |                     pandas.core.arrays.sparse.array
import time:      1267 |       9222 |                   pandas.core.arrays.sparse.accessor
import time:       381 |       9602 |                 pandas.core.arrays.sparse
import time:      2397 |       2397 |                 pandas.core.arrays.string_arrow
import time:       692 |     125096 |               pandas.core.arrays
import time:      2049 |       2049 |               pandas.core.flags
import time:      2333 |       2333 |                     pandas._libs.internals
import time:       145 |        145 |                       pandas.core._numba
import time:       477 |        477 |                       pandas.core.util.numba_
import time:      1133 |       1753 |                     pandas.core._numba.executor
import time:      7056 |      11141 |                   pandas.core.apply
import time:       484 |        484 |                     pandas.errors.cow
import time:      1621 |       1621 |                         pandas._libs.indexing
import time:       115 |        115 |                           pandas.core.indexes
import time:      3098 |       3098 |                             pandas._libs.index
import time:      2055 |       2055 |                             pandas._libs.writers
import time:      2282 |       2282 |                             pandas._libs.join
import time:       726 |        726 |                             pandas.core.array_algos.putmask
import time:       730 |        730 |                             pandas.core.indexes.frozen
import time:      4422 |       4422 |                             pandas.core.strings.accessor
import time:     16318 |      29629 |                           pandas.core.indexes.base
import time:       686 |        686 |                             pandas.core.indexes.extension
import time:      1234 |       1919 |                           pandas.core.indexes.category
import time:      4406 |       4406 |                               pandas.core.indexes.range
import time:       136 |        136 |                                 pandas.core.tools
import time:       692 |        827 |                               pandas.core.tools.timedeltas
import time:      2305 |       7537 |                             pandas.core.indexes.datetimelike
import time:       742 |        742 |                             pandas.core.tools.times
import time:      2429 |      10707 |                           pandas.core.indexes.datetimes
import time:      9690 |       9690 |                             pandas.core.indexes.multi
import time:      1095 |       1095 |                             pandas.core.indexes.timedeltas
import time:      3184 |      13968 |                           pandas.core.indexes.interval
import time:      1608 |       1608 |                           pandas.core.indexes.period
import time:      1271 |      59214 |                         pandas.core.indexes.api
import time:      6437 |      67271 |                       pandas.core.indexing
import time:       580 |        580 |                       pandas.core.sample
import time:       559 |        559 |                       pandas.core.array_algos.replace
import time:      5665 |       5665 |                           pandas.core.internals.blocks
import time:       558 |       6222 |                         pandas.core.internals.api
import time:       809 |        809 |                             pandas.core.internals.ops
import time:      7038 |       7847 |                           pandas.core.internals.managers
import time:      1648 |       9495 |                         pandas.core.internals.concat
import time:       458 |      16174 |                       pandas.core.internals
import time:        90 |         90 |                         pandas.core.methods
import time:        74 |         74 |                           pandas.core.reshape
import time:      2601 |       2675 |                         pandas.core.reshape.concat
import time:        70 |         70 |                             mmap
import time:        22 |         22 |                               pwd
import time:        17 |         17 |                               grp
import time:       967 |       1005 |                             tarfile
import time:      3748 |       4822 |                           pandas.io.common
import time:      5970 |      10791 |                         pandas.io.formats.format
import time:      1129 |      14684 |                       pandas.core.methods.describe
import time:       411 |        411 |                       pandas.core.shared_docs
import time:       112 |        112 |                             pandas._libs.window
import time:      3207 |       3319 |                           pandas._libs.window.aggregations
import time:      2894 |       2894 |                             pandas._libs.window.indexers
import time:      1380 |       4273 |                           pandas.core.indexers.objects
import time:      1491 |       1491 |                           pandas.core.window.common
import time:      1424 |       1424 |                           pandas.core.window.numba_
import time:       822 |        822 |                           pandas.core.window.online
import time:      6519 |       6519 |                           pandas.core.window.rolling
import time:      2127 |      19971 |                         pandas.core.window.ewm
import time:      1402 |       1402 |                         pandas.core.window.expanding
import time:       381 |      21753 |                       pandas.core.window
import time:     17485 |     138914 |                     pandas.core.generic
import time:      2983 |       2983 |                     pandas.core.internals.construction
import time:      1057 |       1057 |                     pandas.core.methods.selectn
import time:       769 |        769 |                       pandas.core.tools.numeric
import time:      1237 |       2006 |                     pandas.core.reshape.melt
import time:      2154 |       2154 |                       pandas._libs.reshape
import time:      1778 |       1778 |                       pandas.core.indexes.accessors
import time:       425 |        425 |                         pandas.arrays
import time:      2505 |       2929 |                       pandas.core.tools.datetimes
import time:      2384 |       2384 |                       pandas.io.formats.info
import time:      2289 |       2289 |                         pandas.plotting._core
import time:       972 |        972 |                         pandas.plotting._misc
import time:       312 |       3572 |                       pandas.plotting
import time:     11938 |      24753 |                     pandas.core.series
import time:     25548 |     195742 |                   pandas.core.frame
import time:       803 |        803 |                   pandas.core.groupby.base
import time:      2567 |       2567 |                     pandas._libs.groupby
import time:       650 |        650 |                     pandas.core.groupby.numba_
import time:       400 |        400 |                         pandas.core.groupby.categorical
import time:      2387 |       2787 |                       pandas.core.groupby.grouper
import time:      3601 |       6387 |                     pandas.core.groupby.ops
import time:       927 |        927 |                     pandas.core.groupby.indexing
import time:      7917 |      18446 |                   pandas.core.groupby.groupby
import time:      5898 |     232028 |                 pandas.core.groupby.generic
import time:       753 |     232781 |               pandas.core.groupby
import time:       662 |     418092 |             pandas.core.api
import time:       274 |        274 |             pandas.tseries.api
import time:       313 |        313 |                     pandas.core.computation.common
import time:       859 |       1172 |                   pandas.core.computation.align
import time:       435 |        435 |                       pprint
import time:       952 |       1387 |                     pandas.core.computation.scope
import time:      1882 |       3268 |                   pandas.core.computation.ops
import time:       594 |       5033 |                 pandas.core.computation.engines
import time:       793 |        793 |                   pandas.core.computation.parsing
import time:      2914 |       3707 |                 pandas.core.computation.expr
import time:       927 |       9666 |               pandas.core.computation.eval
import time:       194 |       9859 |             pandas.core.computation.api
import time:      1329 |       1329 |               pandas.core.reshape.encoding
import time:      6965 |       6965 |               pandas.core.reshape.merge
import time:      2536 |       2536 |               pandas.core.reshape.pivot
import time:      1348 |       1348 |               pandas.core.reshape.tile
import time:       347 |      12523 |             pandas.core.reshape.api
import time:       167 |        167 |               pandas.api.executors
import time:       128 |        128 |               pandas.api.extensions
import time:       109 |        109 |               pandas.api.indexers
import time:        66 |         66 |                   pandas.core.interchange
import time:      1198 |       1264 |                 pandas.core.interchange.dataframe_protocol
import time:       423 |        423 |                   pandas.core.interchange.utils
